book_id,work_id,books_count,isbn13,authors,original_publication_year,title,language_code,average_rating,ratings_count,text_reviews_count,image_url
4,3275794,487,9780061120080,Harper Lee,1960,To Kill a Mockingbird,eng,4.25,3340896,72586,https://images.gr-assets.com/books/1361975680m/2657.jpg
112,17763198,168,9780670026610,Jojo Moyes,2012,Me Before You,eng,4.27,741133,71412,https://images.gr-assets.com/books/1357108762m/15507958.jpg
16,1708725,274,9780307269750,Stieg Larsson - Reg Keeland,2005,Män som hatar kvinnor,eng,4.11,1929834,62543,https://images.gr-assets.com/books/1327868566m/2429135.jpg
105,15524549,153,9780007524270,Veronica Roth,2013,Allegiant,eng,3.63,663226,62536,https://images.gr-assets.com/books/1395582745m/18710190.jpg
141,21825181,148,9780804139020,Andy Weir,2012,The Martian,eng,4.39,529702,61298,https://images.gr-assets.com/books/1413706054m/18007564.jpg
11,3295919,283,9781594480000,Khaled Hosseini,2003,The Kite Runner ,eng,4.26,1878095,59730,https://images.gr-assets.com/books/1484565687m/77203.jpg
69,15524542,164,9780007442910,Veronica Roth,2012,Insurgent,eng,4.07,947338,55873,https://images.gr-assets.com/books/1325667729m/11735983.jpg
35,4835472,458,9780061122420,Paulo Coelho - Alan R. Clarke,1988,O Alquimista,eng,3.82,1403995,55781,https://images.gr-assets.com/books/1483412266m/865.jpg
46,3441236,128,9781565125600,Sara Gruen,2006,Water for Elephants,eng,4.07,1108839,55732,https://images.gr-assets.com/books/1494428973m/43641.jpg
36,2543234,192,9780385732550,Lois Lowry,1993,The Giver,eng,4.12,1345445,54084,https://images.gr-assets.com/books/1342493368m/3636.jpg
185,14245059,119,9780385534640,Erin Morgenstern,2011,The Night Circus,eng,4.03,474826,54008,https://images.gr-assets.com/books/1387124618m/9361589.jpg
139,14345371,155,9781594744760,Ransom Riggs,2011,Miss Peregrine's Home for Peculiar Children,en-US,3.89,672222,53569,https://images.gr-assets.com/books/1472782916m/9460487.jpg
143,25491300,139,9781476746590,Anthony Doerr,2014,All the Light We Cannot See,eng,4.31,547827,53413,https://images.gr-assets.com/books/1451445646m/18143977.jpg
279,48765776,95,9780751565360,John Tiffany - Jack Thorne - J.K. Rowling,2016,Harry Potter and the Cursed Child - Parts One and Two,eng,3.75,397773,53365,https://images.gr-assets.com/books/1470082995m/29056083.jpg
164,17225055,103,9781250012580,Rainbow Rowell,2013,Eleanor & Park,eng,4.11,579753,53005,https://images.gr-assets.com/books/1341952742m/15745753.jpg
215,14863741,112,9780307887440,Ernest Cline,2011,Ready Player One,eng,4.31,421819,52120,https://images.gr-assets.com/books/1500930947m/9969571.jpg
5,245494,1356,9780743273560,F. Scott Fitzgerald,1925,The Great Gatsby,eng,3.89,2773745,51992,https://images.gr-assets.com/books/1490528560m/4671.jpg
25,2963218,263,9780545010220,J.K. Rowling - Mary GrandPr�,2007,Harry Potter and the Deathly Hallows,eng,4.61,1847395,51942,https://images.gr-assets.com/books/1474171184m/136251.jpg
51,2267189,178,9781416914280,Cassandra Clare,2007,City of Bones,eng,4.12,1241799,51589,https://images.gr-assets.com/books/1432730315m/256683.jpg
40,3352398,185,9780143038410,Elizabeth Gilbert,2006,Eat - pray - love: one woman's search for everything across Italy - India and Indonesia,eng,3.51,1206597,49714,https://images.gr-assets.com/books/1503066414m/19501.jpg
10,3060926,3455,9780679783270,Jane Austen,1813,Pride and Prejudice,eng,4.24,2191465,49152,https://images.gr-assets.com/books/1320399351m/1885.jpg
91,6366642,147,9780385737940,James Dashner,2009,The Maze Runner,eng,4.02,777956,48942,https://images.gr-assets.com/books/1375596592m/6186357.jpg
74,919292,187,9780142402510,John Green,2005,Looking for Alaska,eng,4.09,831285,47128,https://images.gr-assets.com/books/1394798630m/99561.jpg
68,2236198,128,9780671027350,Stephen Chbosky,1999,The Perks of Being a Wallflower,eng,4.21,954905,47116,https://images.gr-assets.com/books/1167352178m/22628.jpg
39,1466917,101,9780553588480,George R.R. Martin,1996,A Game of Thrones,eng,4.45,1442220,46205,https://images.gr-assets.com/books/1436732693m/13496.jpg
41,3346751,159,9780786838650,Rick Riordan,2005,The Lightning Thief,eng,4.23,1411114,46006,https://images.gr-assets.com/books/1400602609m/28187.jpg
13,153313,995,9780451524940,George Orwell - Erich Fromm - Celâl Üster,1949,Nineteen Eighty-Four,eng,4.14,2053394,45518,https://images.gr-assets.com/books/1348990566m/5470.jpg
8,3036731,360,9780316769170,J.D. Salinger,1951,The Catcher in the Rye,eng,3.79,2120637,44920,https://images.gr-assets.com/books/1398034300m/5107.jpg
146,24065147,108,9780316055440,Donna Tartt,2013,The Goldfinch,eng,3.87,463847,44631,https://images.gr-assets.com/books/1451554970m/17333223.jpg
56,2960529,183,9780316067930,Stephenie Meyer,2008,Breaking Dawn,en-US,3.70,1107709,44550,https://images.gr-assets.com/books/1361039438m/1162543.jpg
49,3203964,194,9780316160190,Stephenie Meyer,2006,New Moon (Twilight - #2),eng,3.52,1199000,44020,https://images.gr-assets.com/books/1361039440m/49041.jpg
67,3271379,197,9781594489500,Khaled Hosseini,2007,A Thousand Splendid Suns,eng,4.34,866065,43645,https://images.gr-assets.com/books/1345958969m/128029.jpg
147,2588213,150,9781595141710,Jay Asher,2007,Thirteen Reasons Why,eng,4.02,571281,43467,https://images.gr-assets.com/books/1333822506m/1217100.jpg
38,2153746,167,9780965818670,Audrey Niffenegger,2003,The Time Traveler's Wife,eng,3.95,1308667,43382,https://images.gr-assets.com/books/1437728815m/14050.jpg
250,16319487,124,9780375869020,R.J. Palacio,2012,Wonder,eng,4.43,377791,43021,https://images.gr-assets.com/books/1309285027m/11387515.jpg
45,1392700,264,9780770430080,Yann Martel,2001,Life of Pi,,3.88,1077431,42962,https://images.gr-assets.com/books/1320562005m/4214.jpg
88,3364505,178,9780142414930,John Green,2008,Paper Towns,en-US,3.88,655271,42717,https://images.gr-assets.com/books/1349013610m/6442769.jpg
124,9585076,151,9780316098340,Emma Donoghue,2010,Room,eng,4.03,556327,42254,https://images.gr-assets.com/books/1344265419m/7937843.jpg
144,12946965,16,9781400064170,Laura Hillenbrand,2010,Unbroken: A World War II Story of Survival - Resilience - and Redemption,eng,4.40,528552,41572,https://images.gr-assets.com/books/1327861115m/8664353.jpg
26,2982101,350,9780307277670,Dan Brown,2003,The Da Vinci Code,eng,3.79,1557292,41560,https://images.gr-assets.com/books/1303252999m/968.jpg
252,15545385,92,9780312641890,Marissa Meyer,2012,Cinder,eng,4.15,454146,41109,https://images.gr-assets.com/books/1470056948m/11235712.jpg
81,2944133,92,9780743247540,Jeannette Walls,2005,The Glass Castle,eng,4.24,637866,40777,https://images.gr-assets.com/books/1400930557m/7445.jpg
195,2754161,116,9780385340990,Mary Ann Shaffer - Annie Barrows,2008,The Guernsey Literary and Potato Peel Pie Society,eng,4.12,423672,39853,https://images.gr-assets.com/books/1351979318m/2728527.jpg
73,3328799,161,9780316068050,Stephenie Meyer,2008,The Host,en-US,3.84,777560,39778,https://images.gr-assets.com/books/1318009171m/1656001.jpg
324,21861351,80,,Rainbow Rowell,2013,Fangirl,eng,4.12,371730,39353,https://images.gr-assets.com/books/1499565420m/16068905.jpg
104,3355573,181,9780307265430,Cormac McCarthy,2006,The Road,eng,3.95,555787,38980,https://images.gr-assets.com/books/1439197219m/6288.jpg
70,2422333,224,9780812550700,Orson Scott Card,1985,Ender's Game,eng,4.30,873417,38054,https://images.gr-assets.com/books/1408303130m/375802.jpg
277,21500681,109,9780062255660,Neil Gaiman,2013,The Ocean at the End of the Lane,eng,3.99,336251,37655,https://images.gr-assets.com/books/1497098563m/15783514.jpg
7,1540236,969,9780618260300,J.R.R. Tolkien,1937,The Hobbit or There and Back Again,en-US,4.25,2196809,37653,https://images.gr-assets.com/books/1372847500m/5907.jpg
267,41125521,90,9780312577220,Kristin Hannah,2015,The Nightingale,eng,4.54,327015,37279,https://images.gr-assets.com/books/1451446316m/21853621.jpg
348,21975829,77,,E. Lockhart,2014,We Were Liars,eng,3.85,298780,36910,https://images.gr-assets.com/books/1402749479m/16143347.jpg
137,2489796,189,9780440242950,Diana Gabaldon,1991,Outlander,eng,4.20,578842,36707,https://images.gr-assets.com/books/1402600310m/10964.jpg
22,1145090,183,9780316166680,Alice Sebold,2002,The Lovely Bones,eng,3.77,1661562,36642,https://images.gr-assets.com/books/1457810586m/12232938.jpg
18,2402163,376,9780439655480,J.K. Rowling - Mary GrandPr� - Rufus Beck,1999,Harry Potter and the Prisoner of Azkaban,eng,4.53,1969375,36099,https://images.gr-assets.com/books/1499277281m/5.jpg
119,1119185,236,9780385490820,Margaret Atwood,1985,The Handmaid's Tale,eng,4.06,683564,35925,https://images.gr-assets.com/books/1498057733m/38447.jpg
60,4259809,183,9781400032720,Mark Haddon,2003,The Curious Incident of the Dog in the Night-Time,eng,3.85,915790,35796,https://images.gr-assets.com/books/1479863624m/1618.jpg
206,15413183,93,9780062059930,Kiera Cass,2012,The Selection,en-US,4.15,539091,35681,https://images.gr-assets.com/books/1322103400m/10507293.jpg
14,2207778,896,9780452284240,George Orwell,1945,Animal Farm: A Fairy Story,eng,3.87,1982987,35472,https://images.gr-assets.com/books/1424037542m/7613.jpg
52,2675454,185,9780316160210,Stephenie Meyer,2007,Eclipse,en-US,3.69,1176642,35216,https://images.gr-assets.com/books/1361038355m/428263.jpg
106,14302659,48,,Tina Fey,2011,Bossypants,eng,3.94,609260,35142,https://images.gr-assets.com/books/1481509554m/9418327.jpg
149,4422413,130,9780525421030,Gayle Forman,2009,If I Stay,en-US,3.96,567087,34959,https://images.gr-assets.com/books/1347462970m/4374400.jpg
190,17237712,101,9780307592740,Cheryl Strayed,2012,Wild: From Lost to Found on the Pacific Crest Trail ,eng,3.96,420903,34444,https://images.gr-assets.com/books/1453189881m/12262741.jpg
459,21619954,132,9781476738020,Fredrik Backman - Henning Koch,2012,En man som heter Ove,eng,4.35,243440,34386,https://images.gr-assets.com/books/1405259930m/18774964.jpg
23,6231171,398,9780439064870,J.K. Rowling - Mary GrandPr�,1998,Harry Potter and the Chamber of Secrets,eng,4.37,1906199,34172,https://images.gr-assets.com/books/1474169725m/15881.jpg
240,23841765,235,9780385537860,Dan Brown,2013,Inferno,eng,3.80,345560,33700,https://images.gr-assets.com/books/1397093185m/17212231.jpg
216,3175590,90,9781554681720,Garth Stein,2006,The Art of Racing in the Rain,eng,4.19,354319,32021,https://images.gr-assets.com/books/1377206302m/3153910.jpg
98,6976108,209,9780307269980,Stieg Larsson - Reg Keeland,2006,Flickan som lekte med elden,eng,4.22,649253,31423,https://images.gr-assets.com/books/1351778881m/5060378.jpg
43,2977639,2568,9780142437210,Charlotte Bront� - Michael Mason,1847,Jane Eyre,eng,4.10,1286135,31212,https://images.gr-assets.com/books/1327867269m/10210.jpg
285,22084678,122,9781476729080,Graeme Simsion,2013,The Rosie Project,eng,4.01,305509,31155,https://images.gr-assets.com/books/1371651741m/16181775.jpg
24,3046572,332,9780439139600,J.K. Rowling - Mary GrandPr�,2000,Harry Potter and the Goblet of Fire,eng,4.53,1868642,31084,https://images.gr-assets.com/books/1361482611m/6.jpg
64,1639903,125,9780743454540,Jodi Picoult,2004,My Sister's Keeper,eng,4.06,887880,30719,https://images.gr-assets.com/books/1369504683m/10917.jpg
48,1272463,507,9780307347980,Ray Bradbury,1953,Fahrenheit 451,spa,3.97,1176240,30694,https://images.gr-assets.com/books/1351643740m/4381.jpg
295,15553789,145,9781451627280,Stephen King,2011,11/22/1963,eng,4.29,303057,30656,https://images.gr-assets.com/books/1327876792m/10644930.jpg
536,25037051,84,9781409151170,Victoria Aveyard,2015,Red Queen,eng,4.08,289740,30249,https://images.gr-assets.com/books/1411472322m/17878931.jpg
166,9631645,84,9780525423640,Ally Condie,2010,Matched,eng,3.68,530680,30226,https://images.gr-assets.com/books/1367706191m/7735333.jpg
262,27570886,107,9780399167060,Liane Moriarty,2014,Big Little Lies,eng,4.20,371433,30120,https://images.gr-assets.com/books/1492239430m/19486412.jpg
313,18337340,113,9781451681730,M.L. Stedman,2012,The Light Between Oceans,eng,4.00,288434,29932,https://images.gr-assets.com/books/1336683021m/13158800.jpg
174,2666268,134,9780964729230,William Paul Young,2007,The Shack: Where Tragedy Confronts Eternity,eng,3.74,438292,29377,https://images.gr-assets.com/books/1344270232m/1812457.jpg
393,11138426,73,9781599906960,Sarah J. Maas,2012,Throne of Glass,eng,4.24,327865,29145,https://images.gr-assets.com/books/1495278054m/7896527.jpg
320,17626728,78,9780316204280,Maria Semple,2012,Where'd You Go - Bernadette,eng,3.90,268153,28973,https://images.gr-assets.com/books/1338822317m/13526165.jpg
226,6873353,131,9780307341560,Gillian Flynn,2009,Dark Places,eng,3.92,386607,28784,https://images.gr-assets.com/books/1354988288m/5886881.jpg
342,19926990,139,9780316228530,J.K. Rowling,2012,The Casual Vacancy,eng,3.28,254461,28751,https://images.gr-assets.com/books/1358266832m/13497818.jpg
21,2809203,307,9780439358070,J.K. Rowling - Mary GrandPr�,2003,Harry Potter and the Order of the Phoenix,eng,4.46,1840548,28685,https://images.gr-assets.com/books/1387141547m/2.jpg
192,2502879,123,9780756404080,Patrick Rothfuss,2007,The Name of the Wind,eng,4.55,449372,28631,https://images.gr-assets.com/books/1472068073m/186074.jpg
208,6684634,66,9781400052170,Rebecca Skloot,2010,The Immortal Life of Henrietta Lacks,eng,4.04,404440,28624,https://images.gr-assets.com/books/1327878144m/6493208.jpg
244,3801,136,9780307341550,Gillian Flynn,2006,Sharp Objects,en-US,3.92,354838,28268,https://images.gr-assets.com/books/1423241485m/66559.jpg
99,16813814,147,9781612130580,E.L. James,2011,Fifty Shades Darker,eng,3.87,623340,28052,https://images.gr-assets.com/books/1358266080m/11857408.jpg
235,23986788,95,9780399159340,Liane Moriarty,2013,The Husband's Secret ,eng,3.92,351805,27610,https://images.gr-assets.com/books/1460577225m/17802724.jpg
167,1970226,196,9780747263750,Neil Gaiman,2001,American Gods,eng,4.11,518343,27587,https://images.gr-assets.com/books/1258417001m/4407.jpg
27,41335427,275,9780439785970,J.K. Rowling - Mary GrandPr�,2005,Harry Potter and the Half-Blood Prince,eng,4.54,1785676,27520,https://images.gr-assets.com/books/1361039191m/1.jpg
253,22002305,48,9780316206850,Robert Galbraith - J.K. Rowling,2013,The Cuckoo's Calling,en-US,3.83,340495,27258,https://images.gr-assets.com/books/1358716559m/16160797.jpg
28,2766512,458,9780140283330,William Golding,1954,Lord of the Flies ,eng,3.64,1671484,26886,https://images.gr-assets.com/books/1327869409m/7624.jpg
140,12883496,193,9780307270000,Stieg Larsson - Reg Keeland,2007,Luftslottet som sprängdes,en-US,4.20,526791,26766,https://images.gr-assets.com/books/1327708260m/6892870.jpg
452,19187812,102,9780399162410,Rick Yancey,2013,The 5th Wave,eng,4.10,287540,26756,https://images.gr-assets.com/books/1359853842m/16101128.jpg
231,2523229,117,9780312370830,Tatiana de Rosnay,2007,Elle s'appelait Sarah,eng,4.14,347631,26614,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
57,3275013,125,9780142001740,Sue Monk Kidd,2001,The Secret Life of Bees,en-US,4.01,937393,26522,https://images.gr-assets.com/books/1473454532m/37435.jpg
142,3359698,255,9780451207140,Ken Follett,1989,The Pillars of the Earth,eng,4.29,495893,26283,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
63,1565818,2498,9780393978900,Emily Bront� - Richard J. Dunn,1847,Wuthering Heights,eng,3.82,1001135,26157,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
363,7168450,79,9780525423270,Stephanie Perkins,2010,Anna and the French Kiss,en-US,4.08,285344,26153,https://images.gr-assets.com/books/1358271931m/6936382.jpg
217,3486041,70,9780739303400,Erik Larson - Tony Goldwyn,2003,The Devil in the White City: Murder - Magic - and Madness at the Fair that Changed America,eng,3.98,350607,25846,https://images.gr-assets.com/books/1312066724m/21996.jpg
33,1558965,220,9780739326220,Arthur Golden,1997,Memoirs of a Geisha,eng,4.08,1418172,25605,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
842,21905102,54,9781619634440,Sarah J. Maas,2015,A Court of Thorns and Roses,eng,4.29,188723,25463,https://images.gr-assets.com/books/1491595796m/16096824.jpg
203,16441531,85,,Jamie McGuire,2011,Beautiful Disaster,eng,4.15,442696,25298,https://images.gr-assets.com/books/1358259032m/11505797.jpg
96,18034963,133,9780345803500,E.L. James,2012,Fifty Shades Freed,eng,3.88,610116,25287,https://images.gr-assets.com/books/1336418837m/13536860.jpg
379,13190160,99,9780670022410,Deborah Harkness,2011,A Discovery of Witches,eng,3.99,249735,25179,https://images.gr-assets.com/books/1322168805m/8667848.jpg
9,3338963,311,9781416524790,Dan Brown,2000,Angels & Demons ,en-CA,3.85,2078754,25112,https://images.gr-assets.com/books/1303390735m/960.jpg
318,21545713,65,9780061950730,Christina Baker Kline,2013,Orphan Train,eng,4.14,263968,24700,https://images.gr-assets.com/books/1362409483m/15818107.jpg
258,3209783,279,9780143034900,Carlos Ruiz Zafón - Lucia Graves,2001,La sombra del viento,eng,4.24,317554,24652,https://images.gr-assets.com/books/1344545047m/1232.jpg
32,40283,373,9780142000670,John Steinbeck,1937,Of Mice and Men ,eng,3.84,1518741,24642,https://images.gr-assets.com/books/1437235233m/890.jpg
80,2180358,1708,9780156012200,Antoine de Saint-Exup�ry - Richard Howard - Dom Marcos Barbosa - Melina Karakosta,1946,Le Petit Prince,eng,4.28,859286,24537,https://images.gr-assets.com/books/1367545443m/157993.jpg
533,44458285,102,9780062409850,Harper Lee,2015,Go Set a Watchman,eng,3.31,164828,24535,https://images.gr-assets.com/books/1451442088m/24817626.jpg
987,13492114,138,9781406311520,Patrick Ness - Jim Kay - Siobhan Dowd,2011, A Monster Calls ,eng,4.36,132593,24522,https://images.gr-assets.com/books/1485991317m/8621462.jpg
183,6674837,103,9781416975860,Cassandra Clare,2010,Clockwork Angel,eng,4.33,515759,24385,https://images.gr-assets.com/books/1454962884m/7171637.jpg
280,10342808,108,9780061726840,Lauren Oliver,2011,Delirium,eng,3.99,352398,24271,https://images.gr-assets.com/books/1327890411m/11614718.jpg
458,28098716,63,9780385353300,Emily St. John Mandel,2014,Station Eleven,eng,4.02,189380,24215,https://images.gr-assets.com/books/1451446835m/20170404.jpg
201,6600281,208,9780385504220,Dan Brown,2009,The Lost Symbol,eng,3.66,404982,24199,https://images.gr-assets.com/books/1358274396m/6411961.jpg
333,2158906,107,9780595440090,Lisa Genova,2007,Still Alice,eng,4.30,245071,24112,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
359,21933087,135,9781594631760,Khaled Hosseini,2012,And The Mountains Echoed,eng,4.03,229116,24084,https://images.gr-assets.com/books/1358190204m/16115612.jpg
312,2219449,129,9780060530920,Neil Gaiman - Dave McKean,2008,The Graveyard Book,en-US,4.12,325451,23840,https://images.gr-assets.com/books/1303859949m/2213661.jpg
1453,26540216,86,9780553496640,Nicola Yoon - David Yoon,2015,Everything - Everything,eng,4.11,150407,23712,https://images.gr-assets.com/books/1450515891m/18692431.jpg
153,1575860,125,9781416914300,Cassandra Clare,2008,City of Ashes,eng,4.21,586008,23643,https://images.gr-assets.com/books/1432730356m/1582996.jpg
535,13355552,89,9780316134030,Laini Taylor,2011,Daughter of Smoke & Bone,eng,4.04,228815,23582,https://images.gr-assets.com/books/1461353773m/8490112.jpg
327,14157512,91,9780399256750,Marie Lu,2011,Legend,eng,4.19,318472,23487,https://images.gr-assets.com/books/1501368160m/9275658.jpg
460,6309710,79,9781406321340,Cassandra Clare,2013,Clockwork Princess,eng,4.59,247984,23261,https://images.gr-assets.com/books/1436788488m/18335634.jpg
291,3633533,74,9780375414500,Abraham Verghese,2009,Cutting for Stone,eng,4.28,281079,23146,https://images.gr-assets.com/books/1327931601m/3591262.jpg
259,6574198,107,9780385738750,James Dashner,2010,The Scorch Trials,eng,3.93,346307,23058,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
581,18390691,64,9780312642970,Marissa Meyer,2013,Scarlet,eng,4.30,213010,23054,https://images.gr-assets.com/books/1470056982m/13206760.jpg
122,1479280,80,9780060987110,Gregory Maguire - Douglas Smith,1995,Wicked: The Life and Times of the Wicked Witch of the West,eng,3.52,525498,22926,https://images.gr-assets.com/books/1437733293m/37442.jpg
134,3443248,122,9781416914300,Cassandra Clare,2009,City of Glass,en-US,4.34,630560,22736,https://images.gr-assets.com/books/1369452339m/3777732.jpg
1308,25126749,39,,Sarah J. Maas,2016,A Court of Mist and Fury,eng,4.72,126491,22700,https://images.gr-assets.com/books/1485259138m/17927395.jpg
90,1426690,156,9780140385720,S.E. Hinton,1967,The Outsiders,en-US,4.06,680437,22662,https://images.gr-assets.com/books/1442129426m/231804.jpg
239,817,137,9780307346600,Max Brooks,2006,World War Z: An Oral History of the Zombie War,en-US,4.01,345149,22412,https://images.gr-assets.com/books/1386328204m/8908.jpg
87,265616,109,9780374500020,Elie Wiesel - Marion Wiesel,1958,Un di Velt Hot Geshvign,eng,4.30,707879,22001,https://images.gr-assets.com/books/1473495285m/1617.jpg
268,1499998,159,9781400078780,Kazuo Ishiguro,2005,Never Let Me Go,eng,3.80,323627,21927,https://images.gr-assets.com/books/1353048590m/6334.jpg
202,6525609,91,9781416989420,Becca Fitzpatrick,2009,Hush - Hush,en-US,4.00,461802,21871,https://images.gr-assets.com/books/1358261334m/6339664.jpg
423,20397129,84,9780062059960,Kiera Cass,2013,The Elite,eng,4.02,269816,21810,https://images.gr-assets.com/books/1391454595m/16248068.jpg
256,251800,67,9780143038250,Greg Mortenson - David Oliver Relin,2006,Three Cups of Tea ,en-US,3.64,288520,21681,https://images.gr-assets.com/books/1395407074m/49436.jpg
94,3295655,555,9780060531040,Gabriel García Márquez - Gregory Rabassa,1967,Cien años de soledad,eng,4.04,575667,21671,https://images.gr-assets.com/books/1327881361m/320.jpg
506,21587145,94,9780062059990,Kiera Cass,2014,The One,eng,4.21,237039,21608,https://images.gr-assets.com/books/1395612906m/18635016.jpg
187,2895388,98,9780689865380,Scott Westerfeld,2005,Uglies,eng,3.86,464589,21234,https://images.gr-assets.com/books/1443904172m/24770.jpg
921,26113532,74,9780385755890,Jennifer Niven ,2015,All the Bright Places,eng,4.19,146542,21192,https://images.gr-assets.com/books/1404331702m/18460392.jpg
249,1940137,104,9780618711660,Jonathan Safran Foer,2005,Extremely Loud and Incredibly Close,en-US,3.97,319116,21107,https://images.gr-assets.com/books/1327879967m/4588.jpg
678,25694131,79,9781616203210,Gabrielle Zevin,2014,The Storied Life of A.J. Fikry,eng,3.98,145313,20980,https://images.gr-assets.com/books/1404582137m/18293427.jpg
632,15333458,77,9780062085480,Tahereh Mafi,2011,Shatter Me (Shatter Me - #1),en-US,4.01,200300,20959,https://images.gr-assets.com/books/1310649047m/10429045.jpg
115,1352495,125,9780312422160,Jeffrey Eugenides,2002,Middlesex,en-US,3.98,507998,20880,https://images.gr-assets.com/books/1437029776m/2187.jpg
15,3532896,710,9780553296980,Anne Frank - Eleanor Roosevelt - B.M. Mooyaart-Doubleday,1947,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,eng,4.10,2024493,20825,https://images.gr-assets.com/books/1358276407m/48855.jpg
551,21443207,95,9780316176480,Kate Atkinson,2013,Life After Life,eng,3.74,158661,20822,https://images.gr-assets.com/books/1358173808m/15790842.jpg
182,6488966,119,9780316042670,Kami Garcia - Margaret Stohl,2009,Beautiful Creatures,eng,3.76,458518,20808,https://images.gr-assets.com/books/1327873282m/6304335.jpg
275,48658,116,9780525476890,John Green,2006,An Abundance of Katherines,eng,3.63,347424,20657,https://images.gr-assets.com/books/1360206426m/49750.jpg
254,6244926,96,9780545123270,Maggie Stiefvater,2009,Shiver,eng,3.78,370811,20521,https://images.gr-assets.com/books/1409283154m/6068551.jpg
54,3078186,257,9780345391800,Douglas Adams,1979,The Hitchhiker's Guide to the Galaxy,en-US,4.20,1006479,20345,https://images.gr-assets.com/books/1327656754m/11.jpg
110,3272005,202,9780553381700,George R.R. Martin,1998,A Clash of Kings,eng,4.40,606765,20325,https://images.gr-assets.com/books/1358254974m/10572.jpg
352,40098620,29,9780062268340,Amy Poehler,2014,Yes Please,eng,3.81,274223,20301,https://images.gr-assets.com/books/1402815435m/20910157.jpg
928,18970934,64,9780545424930,Maggie Stiefvater,2012,The Raven Boys,eng,4.05,159696,20296,https://images.gr-assets.com/books/1477103737m/17675462.jpg
850,6736543,88,9780374214910,Robin Sloan,2012,Mr. Penumbra's 24-Hour Bookstore,eng,3.75,127396,20150,https://images.gr-assets.com/books/1345089845m/13538873.jpg
151,43554,121,9780786856860,Rick Riordan,2006,The Sea of Monsters,eng,4.23,550512,20097,https://images.gr-assets.com/books/1400602661m/28186.jpg
55,3204877,515,9780060929880,Aldous Huxley,1932,Brave New World,eng,3.97,1079135,20095,https://images.gr-assets.com/books/1487389574m/5129.jpg
188,2936175,115,,George R.R. Martin,2011,A Dance with Dragons,eng,4.31,424618,20072,https://images.gr-assets.com/books/1327885335m/10664113.jpg
774,18390772,51,9780312642980,Marissa Meyer,2014,Cress,eng,4.46,177466,20055,https://images.gr-assets.com/books/1470057005m/13206828.jpg
71,4836639,2618,9780141439470,Mary Wollstonecraft Shelley - Percy Bysshe Shelley - Maurice Hindle,1818,Frankenstein; or - The Modern Prometheus,eng,3.75,883563,19993,https://images.gr-assets.com/books/1381512375m/18490.jpg
376,11022464,88,9780385738770,James Dashner,2011,The Death Cure,eng,3.77,257184,19975,https://images.gr-assets.com/books/1303997647m/7864437.jpg
